sentiment	text
neutral	There's so much misconception on Islam rn so showing Muslims being a fan, etc may make the citizens not hv any bad thoughts abt Islam
neutral	@Mr_Rondeau You should try Iron Maiden at about 3:30 on a Friday. That way, when the bell rings, you can #runforthehills
neutral	Going to #FantasticFour tomorrow. Half expecting the box office girl to give me a sad look and say I can see Ant-Man a second time instead.
neutral	@cfelan hey hey, just checkng to see if you or @kokorissa had any interest in Sam Smith tickets for cheap. Show is Saturday @ erwin center
neutral	does anyone just get drunk and watch twilight with their best friend? On a Monday? No? Okay.
neutral	"Iron Maiden have premiered the video for ""Speed of Light,"" the first single from their upcoming 16th studio... http://t.co/h0TpkHTfF9"
positive	SHARKNADO 3 tomorrow!??? Best day of my life
neutral	Monday nights will always miss you. RIP Frank Gifford
positive	shawn and charlie are both going to the vma's tomorrow &amp; camila is with shawn today &amp; charlie sits behind the girls tomorrow i am fascinated
positive	a full season of Harvey, deGrom, Thor, Matz and Wheeler coming back in June?? sign me up. Lets get Heyward, some bullpen call it a day
positive	Tomorrow is National Ice Cream Day. Do what you will with this knowledge. I'm probs gonna eat some ice cream.
negative	@LilyySiness @WeAlIlKnowA that awkward moment when im going to gay pride tomorrow:/
positive	I like that Bellucci is making Murray work for it in this 3rd set! #usopen @usopen @ESPNTennis
positive	I'm loving all these quotes from the cry baby Royals about Thor's 1st pitch to Escobar. If I'm Matz, I'm doing the same thing Saturday.
neutral	shawn is coming tomorrow guess whos not going :(
neutral	Paul Dunne, amateur co-leader at The Open, entered the tourney at 1500:1 odds (via @Oddschecker) and entered Sunday at 300:1 @LVSuperBook.
positive	Getting super hype for the tension filled #UntilDawn, PS4's adventure survival horror thriller which is out tomorrow. http://t.co/KxoNueBKQB
neutral	@huygian Hi there. On behalf of Ira, may I know if you still experiencing the same concern? Thank you.
neutral	Wednesday at The Corner Studio:  9:30-10:30am All Levels Yoga with Amie 6-7:15pm Core Flow Yoga with Heather... http://t.co/vbL7ulRZk8
neutral	We will be exhibiting at the Milan Map &amp; Book Fair September 12th 11 am - 6 pm. Hotel Michelangelo,   20124 Milan... http://t.co/lLq9oD16QO
neutral	#Obergefell, Marriage Equality and Islam in the West http://t.co/NoQlB3g6t0 #IslaminAmerica #marriageequality
neutral	Nikki Bella may have the Divas title, but she'll never have a child with John Cena.
positive	Chris Evans as Captain America stands tall against the Age of Ultron! In theaters May 1. https://t.co/ajvhiLpvj3
neutral	Does anyone want to help me win tickets to see Shawn in SanDiego tomorrow ?
